name,overallRank,genderRank,count,gender
Linda,1,1,96216,F
Mary,5,2,68598,F
Barbara,10,3,46824,F
Patricia,11,4,46140,F
Susan,14,5,35988,F
Sandra,17,6,31062,F
Nancy,18,7,29412,F
Carol,19,8,28977,F
Sharon,23,9,26143,F
Kathleen,25,10,23257,F
Donna,26,11,22033,F
Karen,27,12,21996,F
Margaret,32,13,18873,F
Carolyn,33,14,18623,F
Judith,34,15,17787,F
Judy,35,16,17705,F
Brenda,36,17,17699,F
Betty,39,18,16625,F
Diane,40,19,16607,F
Shirley,42,20,16122,F
Joyce,44,21,14381,F
Pamela,45,22,14281,F
Janice,46,23,14162,F
Janet,47,24,13977,F
Cheryl,48,25,13220,F
Elizabeth,49,26,13215,F
Cynthia,52,27,12240,F
Gloria,54,28,11691,F
Dorothy,56,29,11322,F
Deborah,57,30,11244,F
Beverly,59,31,10796,F
Martha,61,32,10011,F
Marilyn,62,33,9937,F
Bonnie,64,34,9818,F
Christine,67,35,9677,F
Virginia,69,36,9296,F
Joan,70,37,9275,F
Peggy,71,38,9089,F
Jane,72,39,8781,F
Helen,75,40,8301,F
Catherine,76,41,8244,F
Frances,77,42,8179,F
Connie,79,43,8055,F
Ann,82,44,8025,F
Ruth,85,45,7903,F
Phyllis,87,46,7876,F
Jean,89,47,7774,F
Diana,90,48,7706,F
Alice,98,49,6981,F
Rebecca,102,50,6795,F
Gail,103,51,6603,F
Paula,104,52,6600,F
Elaine,105,53,6403,F
Kathryn,107,54,6177,F
Kathy,110,55,6148,F
Jo,112,56,5986,F
Wanda,115,57,5919,F
Jacqueline,117,58,5838,F
Rita,118,59,5835,F
Marie,119,60,5786,F
Sherry,121,61,5717,F
Rose,124,62,5556,F
Theresa,125,63,5556,F
Doris,126,64,5547,F
Joanne,127,65,5499,F
Suzanne,129,66,5448,F
Ellen,133,67,5289,F
Katherine,134,68,5169,F
Charlotte,135,69,5164,F
Lois,137,70,5077,F
Sheila,139,71,5022,F
Sally,141,72,5012,F
Laura,143,73,4901,F
Evelyn,144,74,4840,F
Maria,145,75,4817,F
Marsha,149,76,4725,F
Darlene,150,77,4692,F
Sue,151,78,4674,F
Marcia,153,79,4640,F
Lynn,154,80,4609,F
Vicki,157,81,4365,F
Teresa,161,82,4217,F
Geraldine,163,83,4208,F
Lynda,164,84,4168,F
Sarah,165,85,4159,F
Dianne,166,86,4138,F
Anne,167,87,4122,F
Maureen,168,88,4077,F
Anna,170,89,4037,F
Rosemary,175,90,3869,F
Eileen,176,91,3838,F
Glenda,177,92,3831,F
Constance,178,93,3812,F
Joann,180,94,3799,F
Jeanne,182,95,3789,F
Lorraine,183,96,3745,F
Annie,184,97,3721,F
Patsy,185,98,3714,F
Louise,187,99,3685,F
Sylvia,188,100,3671,F
Roberta,189,101,3667,F
Anita,192,102,3615,F
Norma,193,103,3592,F
Cathy,194,104,3561,F
Charlene,196,105,3487,F
Carole,201,106,3313,F
Juanita,204,107,3207,F
Victoria,208,108,3131,F
Marlene,210,109,3053,F
Marjorie,211,110,3048,F
Irene,212,111,3043,F
Yvonne,213,112,3041,F
Kay,215,113,2943,F
Ruby,216,114,2894,F
Loretta,218,115,2868,F
Delores,219,116,2840,F
Julie,221,117,2794,F
Julia,224,118,2776,F
Dolores,225,119,2763,F
Mildred,226,120,2755,F
Janis,227,121,2745,F
Claudia,231,122,2624,F
Paulette,233,123,2579,F
Gwendolyn,236,124,2506,F
Arlene,239,125,2480,F
Vivian,242,126,2424,F
June,245,127,2389,F
