name,overallRank,genderRank,count,gender
John,2,1,11450,M
James,4,2,9194,M
William,5,3,8844,M
Robert,12,4,5609,M
George,13,5,5441,M
Joseph,14,6,5228,M
Charles,16,7,4784,M
Frank,25,8,3768,M
Edward,29,9,3407,M
Henry,36,10,2899,M
Willie,37,11,2897,M
Thomas,41,12,2851,M
Walter,47,13,2596,M
Albert,52,14,2183,M
Paul,64,15,2005,M
Harry,66,16,1978,M
Arthur,67,17,1942,M
Harold,69,18,1909,M
Raymond,76,19,1737,M
Clarence,78,20,1706,M
Richard,81,21,1654,M
Fred,84,22,1587,M
Jack,85,23,1576,M
Louis,86,24,1569,M
Joe,87,25,1553,M
Carl,97,26,1339,M
Howard,100,27,1309,M
Ralph,103,28,1278,M
Roy,105,29,1267,M
David,106,30,1258,M
Ernest,112,31,1167,M
Samuel,115,32,1129,M
Earl,116,33,1109,M
Charlie,117,34,1107,M
Lawrence,126,35,1009,M
Francis,128,36,1000,M
Anthony,129,37,980,M
Alfred,134,38,922,M
Eugene,138,39,888,M
Sam,139,40,888,M
Herbert,141,41,886,M
Andrew,142,42,884,M
Kenneth,143,43,880,M
Donald,145,44,860,M
Michael,147,45,844,M
Leonard,155,46,793,M
Stanley,157,47,761,M
Elmer,158,48,760,M
Lee,162,49,741,M
Leroy,164,50,733,M
Leo,167,51,707,M
Herman,171,52,696,M
Daniel,172,53,692,M
Theodore,173,54,692,M
Floyd,174,55,687,M
Peter,184,56,631,M
Clyde,191,57,617,M
Russell,193,58,615,M
Eddie,196,59,595,M
Jesse,199,60,590,M
Chester,205,61,561,M
Bernard,207,62,560,M
Norman,208,63,557,M
Lester,209,64,556,M
Lewis,210,65,555,M
Clifford,214,66,551,M
Lloyd,216,67,545,M
Ray,217,68,545,M
Frederick,218,69,543,M
Benjamin,222,70,536,M
Edwin,223,71,536,M
Jessie,226,72,516,M
Oscar,228,73,505,M
Johnnie,230,74,502,M
Melvin,234,75,482,M
Milton,236,76,476,M
Cecil,237,77,472,M
Claude,239,78,463,M
Ben,240,79,454,M
Edgar,243,80,441,M
Leon,244,81,435,M
Tom,247,82,428,M
Philip,250,83,418,M
Marvin,251,84,413,M
Alvin,254,85,401,M
Martin,257,86,396,M
Luther,265,87,383,M
Everett,267,88,382,M
Harvey,268,89,382,M
Victor,274,90,372,M
Morris,277,91,367,M
Allen,282,92,355,M
Sidney,283,93,353,M
Vernon,284,94,351,M
Julius,285,95,350,M
Stephen,286,96,350,M
Glenn,287,97,349,M
Homer,290,98,347,M
Vincent,292,99,343,M
Jim,299,100,331,M
Alexander,300,101,324,M
Leslie,309,102,313,M
Oliver,315,103,307,M
Wilbur,319,104,298,M
Gerald,328,105,289,M
Hubert,329,106,289,M
Manuel,331,107,288,M
Marion,334,108,286,M
Otis,335,109,285,M
Maurice,336,110,283,M
Virgil,339,111,280,M
Hugh,340,112,279,M
Will,343,113,278,M
Curtis,345,114,277,M
Max,346,115,277,M
Gilbert,349,116,274,M
Jacob,353,117,273,M
Irving,354,118,272,M
Archie,356,119,265,M
Gordon,357,120,265,M
Willard,358,121,265,M
Warren,359,122,264,M
Horace,361,123,261,M
Bill,363,124,259,M
Jimmie,364,125,259,M
Arnold,366,126,258,M
Alex,367,127,256,M
