name,overallRank,genderRank,count,gender
Mary,1,1,65836,F
Helen,6,2,33706,F
Dorothy,7,3,31733,F
Margaret,8,4,26238,F
Ruth,11,5,24562,F
Mildred,14,6,17300,F
Virginia,16,7,15636,F
Elizabeth,17,8,15287,F
Frances,18,9,15107,F
Anna,19,10,14498,F
Evelyn,21,11,13321,F
Marie,25,12,12008,F
Alice,28,13,11141,F
Florence,30,14,10482,F
Betty,31,15,10106,F
Irene,33,16,9712,F
Lillian,36,17,9516,F
Doris,37,18,9433,F
Rose,38,19,9195,F
Louise,40,20,8812,F
Gladys,41,21,8717,F
Edna,42,22,8404,F
Catherine,43,23,8335,F
Ruby,44,24,8334,F
Martha,45,25,8322,F
Josephine,47,26,8104,F
Lucille,48,27,7856,F
Ethel,49,28,7809,F
Edith,50,29,7767,F
Eleanor,52,30,7611,F
Thelma,53,31,7558,F
Hazel,54,32,7430,F
Marjorie,55,33,7335,F
Grace,56,34,7195,F
Annie,57,35,7146,F
Pauline,58,36,6973,F
Jean,62,37,6799,F
Esther,67,38,6248,F
Gertrude,69,39,6014,F
Lois,70,40,5976,F
Beatrice,74,41,5856,F
Bernice,75,42,5793,F
Clara,78,43,5404,F
Marion,82,44,5158,F
Emma,83,45,5087,F
Sarah,84,46,5022,F
Elsie,86,47,4995,F
Julia,88,48,4950,F
Ann,89,49,4924,F
Agnes,90,50,4901,F
Katherine,91,51,4846,F
Bertha,92,52,4754,F
Jane,95,53,4527,F
Rita,96,54,4515,F
Eva,97,55,4484,F
Pearl,99,56,4273,F
Ida,100,57,4163,F
Viola,101,58,4129,F
Bessie,102,59,4106,F
Barbara,103,60,4084,F
Willie,104,61,4051,F
Lorraine,106,62,3976,F
Anne,107,63,3975,F
June,108,64,3963,F
Vera,112,65,3848,F
Kathryn,113,66,3825,F
Myrtle,114,67,3816,F
Geraldine,117,68,3727,F
Nellie,118,69,3726,F
Stella,119,70,3700,F
Laura,120,71,3663,F
Vivian,122,72,3640,F
Juanita,123,73,3636,F
Violet,124,74,3597,F
Jessie,125,75,3530,F
Alma,128,76,3438,F
Sylvia,132,77,3412,F
Mabel,133,78,3405,F
Charlotte,136,79,3353,F
Minnie,137,80,3272,F
Lillie,138,81,3262,F
Marian,139,82,3261,F
Norma,141,83,3199,F
Phyllis,142,84,3189,F
Maxine,143,85,3183,F
Wilma,144,86,3170,F
Ella,145,87,3158,F
Genevieve,146,88,3155,F
Shirley,147,89,3149,F
Leona,150,90,3033,F
Lucy,153,91,3007,F
Ellen,156,92,2929,F
Jennie,158,93,2928,F
Lena,161,94,2872,F
Mattie,162,95,2856,F
Marguerite,163,96,2836,F
Blanche,167,97,2668,F
Opal,168,98,2652,F
Mae,169,99,2634,F
Nancy,170,100,2628,F
Kathleen,171,101,2587,F
Theresa,178,102,2380,F
Eileen,180,103,2346,F
Velma,181,104,2341,F
Emily,182,105,2307,F
Georgia,184,106,2284,F
Geneva,186,107,2262,F
Beulah,188,108,2212,F
Sophie,190,109,2200,F
Rosa,191,110,2189,F
Carrie,193,111,2180,F
Sara,195,112,2171,F
Harriet,196,113,2168,F
Patricia,198,114,2144,F
Audrey,199,115,2114,F
Christine,200,116,2111,F
Inez,201,117,2083,F
Loretta,202,118,2067,F
Eunice,203,119,2061,F
Alberta,205,120,2017,F
Fannie,210,121,1981,F
Cora,212,122,1940,F
Hilda,213,123,1917,F
Dolores,214,124,1911,F
Hattie,215,125,1896,F
Janet,216,126,1864,F
Dora,217,127,1835,F
Wanda,218,128,1824,F
Ada,219,129,1818,F
Jeanne,220,130,1817,F
Verna,221,131,1816,F
Mamie,223,132,1793,F
Muriel,224,133,1793,F
Lula,225,134,1776,F
Jeanette,228,135,1767,F
Elaine,234,136,1688,F
Olga,235,137,1687,F
Maria,236,138,1678,F
Madeline,239,139,1659,F
Naomi,241,140,1632,F
Estelle,242,141,1618,F
Lola,243,142,1617,F
Mable,244,143,1610,F
Roberta,247,144,1552,F
Miriam,249,145,1541,F
Anita,251,146,1504,F
Erma,252,147,1497,F
Daisy,253,148,1496,F
Olive,254,149,1488,F
Rachel,255,150,1488,F
Susie,258,151,1476,F
Lucile,262,152,1447,F
Flora,263,153,1444,F
Victoria,265,154,1429,F
Maggie,266,155,1428,F
Arlene,268,156,1427,F
Sadie,272,157,1412,F
Rosie,273,158,1398,F
Eula,274,159,1390,F
Irma,277,160,1375,F
Nora,278,161,1372,F
Lottie,279,162,1368,F
Bonnie,283,163,1343,F
Winifred,284,164,1332,F
Carolyn,285,165,1330,F
Rosemary,286,166,1330,F
Henrietta,290,167,1301,F
Lorene,291,168,1300,F
Caroline,293,169,1296,F
Rebecca,295,170,1267,F
Marcella,296,171,1266,F
Adeline,297,172,1261,F
Joyce,298,173,1255,F
Joan,299,174,1247,F
Della,305,175,1190,F
Fern,306,176,1181,F
Margie,307,177,1158,F
Nina,309,178,1124,F
Nettie,312,179,1109,F
Antoinette,316,180,1090,F
Amelia,317,181,1085,F
Constance,320,182,1078,F
Katie,321,183,1073,F
Jeannette,322,184,1068,F
Regina,323,185,1068,F
Lydia,325,186,1059,F
Veronica,327,187,1047,F
Eloise,328,188,1030,F
Essie,330,189,1023,F
Cleo,333,190,1013,F
Dorothea,335,191,1001,F
Sally,336,192,991,F
Goldie,337,193,989,F
May,338,194,981,F
Ollie,339,195,976,F
Isabel,340,196,957,F
Claire,342,197,953,F
Laverne,343,198,944,F
Angelina,344,199,940,F
Carol,345,200,932,F
Effie,347,201,929,F
Faye,348,202,925,F
Ora,349,203,920,F
Rosalie,351,204,910,F
Luella,353,205,905,F
Freda,355,206,900,F
Lela,356,207,898,F
Sallie,357,208,897,F
Angeline,358,209,894,F
Isabelle,359,210,887,F
Adele,360,211,886,F
Cecelia,365,212,867,F
Iva,366,213,861,F
Addie,374,214,846,F
Johnnie,378,215,832,F
Leola,379,216,830,F
Susan,380,217,824,F
Jewell,381,218,817,F
Lizzie,386,219,809,F
Annette,390,220,801,F
Melba,391,221,791,F
Billie,392,222,790,F
Elva,394,223,782,F
Jewel,395,224,778,F
Donna,396,225,774,F
Janie,398,226,751,F
Lila,399,227,749,F
Cecilia,403,228,746,F
Frieda,404,229,746,F
Etta,405,230,742,F
Alta,408,231,738,F
Ernestine,409,232,738,F
Eleanore,410,233,737,F
Ola,412,234,735,F
Peggy,413,235,735,F
Bette,418,236,718,F
Celia,419,237,711,F
Ina,420,238,710,F
Reba,421,239,706,F
Teresa,422,240,706,F
Imogene,423,241,702,F
Sue,426,242,693,F
Beverly,429,243,684,F
Selma,430,244,682,F
Iris,434,245,677,F
Maude,437,246,674,F
Francis,438,247,673,F
Nell,440,248,666,F
Helene,441,249,664,F
Fay,442,250,660,F
Angela,444,251,654,F
Gwendolyn,446,252,647,F
Matilda,447,253,645,F
Mollie,450,254,638,F
Carmen,453,255,632,F
Nannie,458,256,621,F
Flossie,460,257,613,F
Amy,461,258,609,F
Bettie,462,259,608,F
Eugenia,465,260,606,F
Sophia,466,261,604,F
Elma,471,262,594,F
Elinor,473,263,589,F
Janice,474,264,589,F
Elnora,480,265,576,F
Estella,482,266,572,F
Nadine,487,267,563,F
Virgie,488,268,559,F
Priscilla,489,269,557,F
Elvira,491,270,553,F
Ila,492,271,549,F
Gloria,494,272,547,F
Yvonne,495,273,546,F
Clarice,497,274,542,F
Winnie,499,275,541,F
Hannah,502,276,534,F
Harriett,506,277,527,F
Leah,507,278,527,F
Natalie,511,279,520,F
Edythe,512,280,517,F
Rena,513,281,517,F
Sybil,515,282,515,F
Arline,517,283,513,F
Millie,519,284,505,F
Lenora,522,285,493,F
